project_id,state,district,project_type,land_type,land_area_hectares,affected_families,notification_date,approval_expected_days,approval_actual_days,approval_date,compensation_status,compensation_delay_days,legal_disputes_count,documentation_completeness_pct,rehab_status,rehab_progress_pct,stakeholder_responsiveness_score,delayed
WB-AUD-0162,West Bengal,South 24 Parganas,RAILWAY,Urban,23.87,80,2026-03-17,124,373,2027-03-25,In Progress,15,2,69,In Progress,63,4.8,1
WB-AUD-0163,West Bengal,South 24 Parganas,OTHER,Mixed,17.51,76,2025-10-13,200,420,2026-12-07,Not Started,86,4,100,In Progress,74,4.5,1
WB-AUD-0164,West Bengal,South 24 Parganas,HIGHWAY,Urban,3.45,33,2024-09-25,103,174,2025-03-18,Not Started,109,2,73,In Progress,43,4.7,1
WB-AUD-0165,West Bengal,South 24 Parganas,INDUSTRIAL,Mixed,14.07,58,2022-06-27,177,138,2022-11-12,In Progress,10,3,87,In Progress,84,8.3,0
WB-AUD-0166,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Mixed,4.0,18,2023-06-10,159,129,2023-10-17,Completed,5,1,85,In Progress,82,7.1,0
WB-AUD-0167,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,130.06,388,2023-12-16,116,64,2024-02-18,Disputed,92,2,80,Completed,88,5.2,0
WB-AUD-0168,West Bengal,Howrah,RAILWAY,Agricultural,18.25,65,2025-10-29,141,137,2026-03-15,Disputed,80,0,93,In Progress,81,4.7,0
WB-AUD-0169,West Bengal,Kolkata,INFRASTRUCTURE,Agricultural,3.0,24,2024-10-07,211,154,2025-03-10,In Progress,39,3,96,In Progress,65,3.2,0
WB-AUD-0170,West Bengal,North 24 Parganas,INDUSTRIAL,Urban,11.66,39,2024-07-04,258,198,2025-01-18,In Progress,42,2,90,In Progress,67,5.8,0
WB-AUD-0171,West Bengal,Kolkata,RAILWAY,Urban,3.55,9,2023-03-14,285,372,2024-03-20,In Progress,54,2,84,In Progress,71,4.5,1
WB-AUD-0172,West Bengal,South 24 Parganas,INDUSTRIAL,Agricultural,4.23,30,2025-06-18,110,98,2025-09-24,Not Started,63,0,97,In Progress,83,4.4,0
WB-AUD-0173,West Bengal,Howrah,POWER,Mixed,18.56,81,2025-01-18,118,68,2025-03-27,Completed,0,0,85,Not Started,29,8.1,0
WB-AUD-0174,West Bengal,Howrah,INFRASTRUCTURE,Urban,31.66,108,2023-06-24,277,372,2024-06-30,Not Started,75,4,75,Not Started,10,6.2,1
WB-AUD-0175,West Bengal,Kolkata,URBAN_DEVELOPMENT,Agricultural,1.72,20,2022-04-20,168,434,2023-06-28,Not Started,83,3,46,In Progress,51,7.0,1
WB-AUD-0176,West Bengal,South 24 Parganas,INDUSTRIAL,Wetland,3.0,12,2022-02-13,255,479,2023-06-07,Not Started,128,3,50,Completed,95,5.5,1
WB-AUD-0177,West Bengal,North 24 Parganas,HIGHWAY,Mixed,1.84,21,2022-01-28,202,471,2023-05-14,Disputed,142,5,83,In Progress,49,4.0,1
WB-AUD-0178,West Bengal,Howrah,HIGHWAY,Urban,3.58,38,2023-03-27,107,64,2023-05-30,Completed,0,1,69,In Progress,54,7.2,0
WB-AUD-0179,West Bengal,Howrah,INDUSTRIAL_PARK,Mixed,11.14,41,2025-04-23,215,139,2025-09-09,In Progress,52,1,92,In Progress,67,5.0,0
WB-AUD-0180,West Bengal,North 24 Parganas,HIGHWAY,Mixed,23.23,80,2023-03-07,117,151,2023-08-05,Not Started,118,3,64,Completed,100,4.6,1
WB-AUD-0181,West Bengal,Howrah,HIGHWAY,Mixed,12.19,44,2025-06-03,104,81,2025-08-23,In Progress,31,1,92,Completed,92,2.7,0
WB-AUD-0182,West Bengal,North 24 Parganas,RAILWAY,Urban,4.3,43,2022-04-04,240,240,2022-11-30,Not Started,106,1,91,Completed,100,4.4,0
WB-AUD-0183,West Bengal,Howrah,OTHER,Agricultural,4.05,37,2022-01-08,97,297,2022-11-01,Not Started,89,2,84,Completed,91,5.9,1
WB-AUD-0184,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Urban,2.86,27,2025-07-15,171,130,2025-11-22,In Progress,36,0,83,In Progress,83,6.6,0
WB-AUD-0185,West Bengal,Hooghly,INDUSTRIAL_PARK,Wetland,3.42,23,2023-08-21,126,228,2024-04-05,Not Started,88,3,80,In Progress,75,4.7,1
WB-AUD-0186,West Bengal,Howrah,INDUSTRIAL_PARK,Urban,10.09,54,2023-05-17,226,202,2023-12-05,Completed,0,1,62,In Progress,51,5.4,0
WB-AUD-0187,West Bengal,Hooghly,HIGHWAY,Mixed,3.52,36,2026-04-12,255,446,2027-07-02,Not Started,165,4,52,In Progress,57,1.6,1
WB-AUD-0188,West Bengal,Hooghly,RAILWAY,Mixed,14.15,34,2022-09-27,236,312,2023-08-05,Not Started,79,2,60,In Progress,56,4.0,1
WB-AUD-0189,West Bengal,South 24 Parganas,INDUSTRIAL_PARK,Agricultural,4.57,30,2024-06-25,119,78,2024-09-11,Not Started,66,1,78,In Progress,71,6.4,0
WB-AUD-0190,West Bengal,South 24 Parganas,RAILWAY,Mixed,12.63,51,2024-07-16,193,377,2025-07-28,Not Started,79,4,88,In Progress,73,3.7,1
WB-AUD-0191,West Bengal,Kolkata,INFRASTRUCTURE,Urban,20.09,98,2024-11-14,182,163,2025-04-26,Disputed,60,1,86,In Progress,84,4.3,0
WB-AUD-0192,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,9.15,42,2024-09-11,137,225,2025-04-24,Not Started,98,1,87,In Progress,67,4.7,1
WB-AUD-0193,West Bengal,North 24 Parganas,INFRASTRUCTURE,Mixed,4.2,28,2024-05-05,185,304,2025-03-05,Not Started,83,3,58,Not Started,1,1.7,1
WB-AUD-0194,West Bengal,South 24 Parganas,INDUSTRIAL_PARK,Agricultural,33.12,115,2026-01-08,215,394,2027-02-06,Disputed,101,3,89,In Progress,79,4.3,1
WB-AUD-0195,West Bengal,South 24 Parganas,HIGHWAY,Urban,13.91,41,2023-05-03,119,99,2023-08-10,In Progress,49,2,80,Completed,85,4.7,0
WB-AUD-0196,West Bengal,Kolkata,INDUSTRIAL_PARK,Wetland,6.14,36,2022-05-11,236,206,2022-12-03,In Progress,53,2,74,In Progress,51,6.6,0
WB-AUD-0197,West Bengal,North 24 Parganas,INFRASTRUCTURE,Urban,4.68,25,2022-04-03,189,145,2022-08-26,Not Started,85,2,54,In Progress,67,8.5,0
WB-AUD-0198,West Bengal,Kolkata,INFRASTRUCTURE,Urban,7.96,40,2025-05-21,208,193,2025-11-30,In Progress,35,2,66,In Progress,64,4.6,0
WB-AUD-0199,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Urban,12.92,40,2023-07-27,94,48,2023-09-13,Not Started,58,3,73,In Progress,52,5.1,0
WB-AUD-0200,West Bengal,Hooghly,RAILWAY,Agricultural,64.08,225,2023-10-20,150,215,2024-05-22,Not Started,84,3,71,In Progress,61,2.0,1
WB-AUD-0201,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,4.19,27,2024-01-22,161,227,2024-09-05,Not Started,66,5,47,In Progress,51,4.4,1
WB-AUD-0202,West Bengal,Howrah,INDUSTRIAL,Mixed,21.89,85,2023-10-17,90,180,2024-04-14,Not Started,123,5,70,Completed,89,7.8,1
WB-AUD-0203,West Bengal,Howrah,INFRASTRUCTURE,Urban,3.49,31,2026-01-16,267,244,2026-09-17,In Progress,50,2,72,In Progress,83,4.9,0
WB-AUD-0204,West Bengal,Kolkata,HIGHWAY,Urban,68.85,223,2025-04-26,214,252,2026-01-03,Not Started,78,4,75,Completed,91,2.4,1
WB-AUD-0205,West Bengal,Hooghly,POWER,Agricultural,1.25,11,2025-09-20,288,559,2027-04-02,Not Started,113,4,81,Completed,87,6.4,1
WB-AUD-0206,West Bengal,Hooghly,HIGHWAY,Agricultural,5.62,28,2023-04-25,158,266,2024-01-16,Not Started,98,3,75,Completed,86,4.7,1
WB-AUD-0207,West Bengal,Hooghly,HIGHWAY,Mixed,6.0,16,2023-07-12,138,73,2023-09-23,In Progress,45,0,49,In Progress,72,8.1,0
WB-AUD-0208,West Bengal,Kolkata,INFRASTRUCTURE,Urban,3.2,31,2023-03-05,137,393,2024-04-01,Not Started,119,3,78,In Progress,67,4.8,1
WB-AUD-0209,West Bengal,Howrah,URBAN_DEVELOPMENT,Mixed,2.9,35,2026-02-13,133,69,2026-04-23,In Progress,13,1,67,Completed,86,7.7,0
WB-AUD-0210,West Bengal,Kolkata,POWER,Urban,21.45,85,2025-04-28,96,30,2025-05-28,Completed,0,1,81,In Progress,75,6.1,0
WB-AUD-0211,West Bengal,Hooghly,HIGHWAY,Urban,12.99,59,2022-05-21,195,187,2022-11-24,Not Started,62,0,70,In Progress,75,2.8,0
WB-AUD-0212,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Urban,6.88,26,2025-12-07,218,188,2026-06-13,Disputed,81,3,75,Completed,100,8.4,0
WB-AUD-0213,West Bengal,South 24 Parganas,INFRASTRUCTURE,Urban,22.5,82,2024-11-11,163,103,2025-02-22,In Progress,34,1,84,Completed,97,7.3,0
WB-AUD-0214,West Bengal,Kolkata,RAILWAY,Mixed,8.61,33,2026-08-05,234,188,2027-02-09,In Progress,21,1,60,In Progress,50,6.4,0
WB-AUD-0215,West Bengal,Howrah,OTHER,Agricultural,2.55,26,2024-05-25,232,264,2025-02-13,Not Started,118,5,67,In Progress,76,3.3,1
WB-AUD-0216,West Bengal,Hooghly,URBAN_DEVELOPMENT,Agricultural,9.93,54,2024-02-27,129,84,2024-05-21,In Progress,54,1,77,In Progress,63,4.2,0
WB-AUD-0217,West Bengal,North 24 Parganas,RAILWAY,Agricultural,1.2,24,2023-08-08,191,126,2023-12-12,In Progress,36,3,79,In Progress,82,8.7,0
WB-AUD-0218,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,8.65,36,2024-03-08,257,190,2024-09-14,Completed,0,1,100,In Progress,49,5.7,0
WB-AUD-0219,West Bengal,Hooghly,URBAN_DEVELOPMENT,Agricultural,2.18,45,2023-08-17,220,189,2024-02-22,Not Started,64,1,59,In Progress,61,5.5,0
WB-AUD-0220,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Urban,3.01,28,2023-04-10,94,184,2023-10-11,Not Started,106,5,79,In Progress,61,6.9,1
WB-AUD-0221,West Bengal,North 24 Parganas,INDUSTRIAL_PARK,Agricultural,4.8,32,2022-02-22,205,313,2023-01-01,Completed,3,1,61,In Progress,78,4.5,1
WB-AUD-0222,West Bengal,South 24 Parganas,HIGHWAY,Mixed,3.2,33,2025-07-17,257,362,2026-07-14,Not Started,149,5,69,Not Started,31,2.2,1
WB-AUD-0223,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,21.4,92,2025-04-15,181,153,2025-09-15,Not Started,66,0,50,In Progress,56,7.2,0
WB-AUD-0224,West Bengal,North 24 Parganas,INFRASTRUCTURE,Mixed,0.88,9,2025-10-20,115,91,2026-01-19,In Progress,32,1,52,In Progress,67,9.1,0
WB-AUD-0225,West Bengal,Hooghly,INDUSTRIAL_PARK,Mixed,6.07,41,2022-08-31,267,412,2023-10-17,Not Started,71,3,68,In Progress,65,5.4,1
WB-AUD-0226,West Bengal,Howrah,INFRASTRUCTURE,Mixed,4.54,33,2022-09-25,197,238,2023-05-21,Not Started,106,3,87,In Progress,72,4.7,1
WB-AUD-0227,West Bengal,Hooghly,HIGHWAY,Wetland,3.03,33,2025-11-09,110,209,2026-06-06,Not Started,70,3,66,In Progress,66,8.5,1
WB-AUD-0228,West Bengal,Kolkata,RAILWAY,Urban,3.15,15,2022-12-29,276,251,2023-09-06,In Progress,28,0,42,In Progress,82,6.2,0
WB-AUD-0229,West Bengal,Hooghly,INDUSTRIAL_PARK,Urban,1.03,15,2023-06-21,201,189,2023-12-27,Not Started,82,1,55,In Progress,68,3.5,0
WB-AUD-0230,West Bengal,Kolkata,INFRASTRUCTURE,Urban,10.72,30,2025-01-14,119,48,2025-03-03,In Progress,22,1,56,Not Started,33,4.5,0
WB-AUD-0231,West Bengal,North 24 Parganas,HIGHWAY,Wetland,57.95,151,2023-02-09,141,340,2024-01-15,In Progress,48,2,46,Completed,87,3.6,1
WB-AUD-0232,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Mixed,5.58,12,2023-05-02,145,403,2024-06-08,Not Started,76,1,78,In Progress,82,3.9,1
WB-AUD-0233,West Bengal,Howrah,URBAN_DEVELOPMENT,Urban,2.19,31,2026-03-19,172,343,2027-02-25,Not Started,74,2,95,In Progress,73,5.9,1
WB-AUD-0234,West Bengal,South 24 Parganas,INDUSTRIAL,Urban,3.2,25,2025-01-28,140,198,2025-08-14,Not Started,115,5,72,In Progress,50,6.9,1
WB-AUD-0235,West Bengal,Hooghly,INDUSTRIAL_PARK,Urban,2.25,32,2026-03-28,276,203,2026-10-17,In Progress,44,2,77,In Progress,57,6.1,0
WB-AUD-0236,West Bengal,Kolkata,HIGHWAY,Mixed,12.25,46,2024-03-06,203,348,2025-02-17,Not Started,108,2,55,In Progress,45,4.3,1
WB-AUD-0237,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,96.99,313,2023-05-17,214,416,2024-07-06,Not Started,109,2,58,In Progress,64,6.7,1
WB-AUD-0238,West Bengal,Hooghly,INDUSTRIAL,Agricultural,9.25,43,2023-08-26,272,398,2024-09-27,Not Started,149,6,57,In Progress,50,5.2,1
WB-AUD-0239,West Bengal,Howrah,HIGHWAY,Agricultural,8.22,36,2025-09-14,223,183,2026-03-16,In Progress,49,0,62,In Progress,71,6.3,0
WB-AUD-0240,West Bengal,Howrah,HIGHWAY,Mixed,20.0,70,2022-04-01,91,52,2022-05-23,In Progress,11,0,75,In Progress,73,5.0,0
WB-AUD-0241,West Bengal,Hooghly,HIGHWAY,Agricultural,0.58,36,2026-06-24,132,234,2027-02-13,Not Started,101,3,30,Completed,85,6.7,1
WB-AUD-0242,West Bengal,Howrah,INFRASTRUCTURE,Wetland,17.6,63,2022-10-11,104,273,2023-07-11,Not Started,75,2,53,In Progress,80,7.0,1
WB-AUD-0243,West Bengal,North 24 Parganas,RAILWAY,Urban,18.03,43,2025-06-22,283,224,2026-02-01,In Progress,46,0,80,In Progress,62,5.0,0
WB-AUD-0244,West Bengal,South 24 Parganas,RAILWAY,Agricultural,3.18,34,2022-11-22,295,294,2023-09-12,In Progress,26,1,77,In Progress,69,7.7,0
WB-AUD-0245,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Agricultural,6.81,50,2025-05-29,173,163,2025-11-08,In Progress,53,1,55,In Progress,72,10.0,0
WB-AUD-0246,West Bengal,South 24 Parganas,INFRASTRUCTURE,Agricultural,6.46,48,2026-07-18,131,63,2026-09-19,Not Started,58,1,78,Completed,88,4.8,0
WB-AUD-0247,West Bengal,South 24 Parganas,OTHER,Urban,1.57,30,2025-10-20,285,458,2027-01-21,Not Started,96,5,70,In Progress,53,3.1,1
WB-AUD-0248,West Bengal,Hooghly,HIGHWAY,Agricultural,8.09,42,2025-08-21,117,39,2025-09-29,Disputed,82,2,78,Completed,87,9.3,0
WB-AUD-0249,West Bengal,South 24 Parganas,INDUSTRIAL,Mixed,1.12,19,2025-03-15,263,445,2026-06-03,Not Started,83,2,80,In Progress,65,5.5,1
WB-AUD-0250,West Bengal,South 24 Parganas,INDUSTRIAL,Urban,6.44,32,2026-03-21,206,154,2026-08-22,In Progress,42,0,100,Completed,88,5.0,0
